"","mean","sd"
"HMBS",7.58455929874105,0.635290870191887
"CHSY1",7.97071829190944,0.570217386190725
"NINJ1",8.85790905110666,0.551674557884067
"BAHD1",6.08494221905424,0.254575579595992
"BCAS2",7.11165013204954,0.501229751865317
"TCTA",7.24192386006194,0.268719965077313
"PDHX",5.8064468765197,0.633438109900171
"KLHL21",7.16435797933487,0.398125901062703
"SV2A",4.34712687081479,0.249490899656487
"MYO1E",5.0019904497817,0.31323081570277
"BAZ2B",7.80689612817666,0.687206245682652
"CTNNBIP1",6.73132189837744,0.235903035252933
"BMS1",6.9423638768785,0.350614296581175
"THBS2",3.61989786533129,0.189123950730569
"FBLN5",5.25221213925989,0.61973071392722
"SDF2",7.32424124269941,0.29407777612558
"MAD2L1BP",7.25146955429491,0.37232039368286
"MTIF2",6.63110815005332,0.525080967153688
"PRPF19",7.25087182937519,0.364227908822629
"CSF1R",8.20127836449524,0.657568102119284
"UBE2M",7.79486008119716,0.502122504191729
"SSSCA1",6.38091250288879,0.311673400810472
"PAN2",6.41712367698901,0.427472387673663
"CCDC86",5.71912166013452,0.31816753658361
"TP53BP2",6.40320411535896,0.419176291819435
"TRAPPC12",7.23415504741628,0.412271666023807
"IMPA2",8.55282995006793,0.61077388070307
"TBP",7.08721391313879,0.310276626687675
"RABAC1",9.22478141438544,0.387982757876389
"HAT1",6.62193904337637,0.741324032193733
"SPAG5",4.43744755849644,0.257666133827852
"MRPL40",6.50427039091248,0.462221837073285
"IFIT1",7.94000680607258,1.48087953544381
"RGP1",6.33062906402351,0.252312496000281
"RHOG",10.4709087437339,0.474134399172692
"RASSF2",10.0983948803937,0.421583342078919
"S100A4",12.2283516530237,0.374825598214161
"C1orf123",7.27521012432418,0.304409512069979
"PMM2",6.1222812729222,0.43998632396924
"ST3GAL5",7.37512049001695,0.505249222233617
"PAFAH1B3",6.70935619835407,0.29104754875057
"CLK2",8.00876697529577,0.336986197877278
"DVL1",6.60029096640561,0.35053718013957
"IL4R",8.23146010935466,0.558184196576364
"UPP1",8.50979715597303,0.594676853915501
"THOP1",5.26956162151094,0.283956025141003
"LGALS9",8.14657578060045,0.472819888230702
"FCGBP",5.29922166001425,0.477518399129595
"UVRAG",7.00098062903414,0.361469636619251
"SCAF8",7.55530495433157,0.590829183535596
"CDK2AP2",7.34828221981124,0.471083639301883
"PPIP5K2",6.61222999157775,0.734860495916206
"CDH3",4.16860686873164,0.218147274509214
"DRAP1",7.15060680536287,0.391203111473338
"DCTN6",7.00770862747412,0.555900622545644
"FAM50A",7.65812989771952,0.372190311832003
"UNC119",7.741281822577,0.337135133258948
"IRF2",7.95762530745095,0.545012214566285
"LMNB1",6.76305529760449,0.672773207885029
"EDEM1",7.88079169002704,0.350933135134458
"GBE1",7.05836350059913,0.551934832343441
"RNF44",8.69536367303057,0.38008110357885
"KIAA0355",5.91841028662546,0.448999524773329
"VPS11",7.62077549111372,0.225646487873057
"DMTF1",7.30557495693473,0.610007505173171
"DCK",6.80005135185092,0.812033364956397
"DYNLT3",7.26261273421818,0.657491098243916
"BAMBI",4.2338917980603,0.360746928308167
"F13A1",9.09183453938121,0.759048329427043
"SLC35A1",8.10351733358402,0.788078213963207
"GTPBP6",7.00682580289848,0.349709187302045
"NCK2",8.00159250887791,0.437784536346918
"SH2B3",7.87374065981672,0.466584278168009
"STX5",6.13612360689865,0.333297637142096
"KIFAP3",5.95081281069062,0.491517048873305
"PHYH",5.64695054541338,0.481168247449456
"CEBPZ",6.71462917518687,0.606713579897101
"UGDH",4.91346342339511,0.536405372949173
"RBBP8",5.91498638483388,0.52846409562686
"EZH2",4.86434416923075,0.464961109961591
"DUSP14",4.90337769007018,0.290696214152511
"CRELD1",5.36912308859263,0.273879415839461
"NDUFB3",7.71575073707794,0.647724625018797
"RPS6KA1",8.7589346596317,0.408947200243032
"ARRB2",9.47661004975192,0.450608208180185
"FKBP2",7.39632521810867,0.42398100087101
"PSMA4",8.08701766729622,0.678867307569557
"ARMCX2",4.05858181357097,0.515257033005943
"PSMG1",5.04545866281189,0.446448058452591
"MFAP1",7.63518795529677,0.431364919946249
"PPL",3.47288244878245,0.177281147480767
"DDB2",6.83437015633658,0.387520649094976
"LZTR1",6.67041672380503,0.278570014129808
"NELL2",7.86223642994786,1.0357382262752
"MFAP2",4.6917105954363,0.213320154376914
"FAM8A1",9.29325308343859,0.635407822535997
"POLD1",5.83558042293922,0.332112023908715
"SUCO",6.27327442499408,0.69911546892663
"TMEM11",7.47399028467152,0.280407905866452
"ATOX1",7.68091312061652,0.41027867727242
