,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
RNA5SP266,5.173679,5.187715,4.883156,4.880605,5.079933,4.356974,4.516851
CYP7A1,3.777009,3.766896,3.732601,3.916124,3.673917,3.872608,3.791304
NSMAF,8.388872,8.26824,8.630096,8.426478,8.399161,8.292246,8.428573
TOX,7.807756,7.744661,7.826657,7.800903,7.513374,7.453304,7.91251
RNU4-50P,3.1017,2.877165,3.059902,3.083356,3.234059,3.306718,3.06823
CA8,6.015349,5.856563,5.432789,5.575806,5.422264,5.465545,5.946996
ASPH,8.31599,8.165566,8.110775,8.276344,8.416257,8.00589,8.042461
RN7SKP97,3.487621,3.693933,3.693933,3.852381,4.274978,4.023491,3.499908
GGH,9.575436,9.959318,8.663024,9.660656,9.192526,9.353477,8.49729
TTPA,6.759238,7.209762,6.672522,6.813583,7.148739,7.309319,6.652855
RN7SL135P,3.683522,3.806426,3.488401,3.813578,3.75515,3.568537,3.688913
RN7SKP135,5.461592,5.704501,5.00408,5.512956,5.749488,5.447873,5.45157
CYP7B1,8.907864,8.907176,9.042787,8.762544,8.933276,8.944392,8.785571
ARMC1,8.308548,8.030855,8.337174,8.315479,8.372991,7.8175,7.932926
PDE7A,8.369958,8.377967,7.649697,8.150443,7.705836,7.822792,7.691535
CRH,3.958308,3.870583,4.059091,3.95004,4.084928,3.944438,3.989075
RNU6-1324P,5.427769,4.935548,5.014671,5.34463,5.150898,5.391027,5.322224
MYBL1,5.789981,5.121234,7.235095,5.82625,5.476923,5.794934,5.251095
VCPIP1,8.983727,8.958865,9.062564,8.932743,8.843253,8.870444,8.844848
PTTG3P,4.466446,4.292278,4.248066,4.409653,4.548875,4.30312,4.547451
TCF24,8.338553,8.371129,8.329485,8.462192,8.153436,8.02927,8.13418
PPP1R42,3.207817,3.176678,3.10979,3.132994,3.082971,3.477807,3.489814
COPS5,7.446233,7.348545,7.384419,7.206114,7.13666,7.499615,6.857201
ARFGEF1,9.529685,9.379306,9.366341,9.330048,9.543092,9.070737,8.744349
CPA6,3.435673,3.557644,3.667823,3.516248,3.693457,3.606886,8.216822
RPS15AP25,3.849327,4.035212,3.857225,3.972883,3.808374,4.631852,4.080921
SLCO5A1,4.983222,5.616002,5.381603,5.177414,5.408908,5.132566,5.223215
RN7SL675P,4.872281,4.879768,4.924766,5.122101,4.419753,4.944677,4.785456
PRDM14,5.525172,5.728547,5.431677,5.549194,5.673351,5.721938,5.851159
RNU1-101P,3.224312,3.469866,3.323931,3.677679,3.390011,3.400243,3.473035
NCOA2,9.002342,8.83332,8.569906,8.84504,8.934444,9.062285,9.060191
TRAM1,10.52422,10.59551,11.16688,10.65393,10.39706,10.24039,10.08263
LACTB2,9.587564,9.653819,10.29383,9.678649,9.339824,9.182044,8.833843
RN7SL19P,5.906406,5.881774,6.012741,6.090265,6.054482,6.288134,5.524359
EYA1,5.176088,5.052169,5.030349,5.258797,5.527476,5.148765,5.87881
MSC,6.638172,6.618498,7.610095,7.583678,6.362801,7.129199,7.186458
TRPA1,4.162483,4.022234,4.966927,4.270193,4.023635,4.127078,3.960097
RNU6-285P,3.86536,3.85752,3.783591,3.946915,4.256576,4.068065,3.988747
SBSPON,9.023343,8.80489,10.26896,8.986508,8.83002,8.94515,8.508553
STAU2,7.98375,7.896911,8.160959,7.927186,8.141368,7.7354,7.898183
UBE2W,9.709667,9.479695,9.723295,9.477081,9.367357,9.721574,9.371182
TCEB1,7.366008,7.242259,7.435833,7.291613,7.18007,7.369214,7.48316
JPH1,6.573365,6.939279,6.897844,6.516547,6.554356,6.412681,6.208198
RNU2-54P,3.379077,3.442562,3.715701,3.398155,3.662046,3.611828,3.638148
PEX2,7.986045,7.914916,7.799157,7.855808,7.983249,7.967079,7.916602
RNU6-1220P,3.238339,3.202068,3.15461,3.079425,3.389891,3.157179,3.213301
IL7,6.462675,6.35995,6.633928,6.719847,6.1843,6.389016,5.951308
HEY1,6.326461,6.312711,5.982129,5.988674,6.364,6.096716,6.885802
MRPS28,7.130225,6.866915,6.959024,6.978856,6.994657,6.747138,6.478786
TPD52,7.686099,7.536849,7.345532,7.701748,7.605528,7.349394,7.15683
RNU2-71P,4.056855,4.04624,3.874357,3.955446,3.889359,4.075072,4.01734
RN7SL107P,5.443985,5.201204,4.918084,4.614053,4.733616,4.832447,4.649489
ZNF704,8.005041,7.934528,7.643302,7.854001,7.875616,8.24046,8.261139
RNU11-6P,3.524303,3.352334,3.231097,3.395001,3.797737,3.212874,3.333898
RN7SL308P,5.239428,4.853469,4.813367,5.051492,5.204964,4.944492,4.825709
PAG1,6.908125,6.973956,7.383249,7.434673,7.220231,7.196293,7.490315
PMP2,3.432227,3.846007,3.81942,3.732791,4.065041,3.911774,3.787475
FABP4,5.634499,5.618841,4.550951,6.947994,6.774041,6.832213,7.356237
FTH1P11,9.718003,9.747615,9.740755,9.338139,9.363072,9.022735,8.76953
FABP12,3.292617,3.216607,3.329595,3.260882,3.198912,3.479891,3.471616
IMPA1P,5.670312,4.993024,5.395665,5.347652,5.320544,5.401457,5.48157
IMPA1,8.647771,8.507718,8.523383,8.570463,8.436433,8.883378,8.43578
SLC10A5,9.336826,8.297361,5.948139,9.003789,8.742308,8.561627,7.988415
ZFAND1,8.233278,8.406848,8.195836,8.274404,8.494266,8.185558,8.301354
SNX16,6.74248,6.716392,6.688132,6.846645,7.013786,6.9381,6.747874
RNU6-1040P,2.934278,2.864996,2.935597,3.085483,3.443458,3.361281,2.900691
C8orf59,6.831993,6.766265,7.266405,6.758069,6.628992,6.632501,6.798315
CA1,4.485059,4.427823,4.265776,4.315528,4.382386,4.736067,4.515354
PSKH2,5.529514,5.701821,5.652411,5.627938,5.333808,5.377499,5.521418
SLC7A13,9.691234,10.78641,6.531896,10.48703,10.85275,10.48218,8.97226
RMDN1,9.151711,8.885579,8.983514,9.098424,8.968149,8.694914,8.571974
CNGB3,4.627459,4.754041,4.455658,4.572533,4.467013,4.821588,5.162198
DCAF4L2,5.604101,5.519026,5.477768,5.469232,5.615697,5.37482,5.599246
RNA5SP272,3.281108,3.378729,3.284102,3.516371,3.816068,3.8154,3.409479
RNU6-925P,7.978779,7.367298,7.218776,7.38442,7.867133,7.253255,7.475133
NBN,8.778909,8.943602,9.503847,9.079139,8.839343,8.63365,8.558036
CALB1,12.76939,12.34607,12.12262,11.81152,12.64239,11.25505,11.95662
TMEM64,9.286702,9.312934,9.844175,9.215866,9.005828,9.06796,9.311308
TMEM55A,8.0872,8.205499,7.95982,7.830058,7.828061,7.79505,8.140581
RUNX1T1,6.433446,6.787841,6.650724,7.125522,7.332057,7.031944,7.591682
RBM12B,7.420457,7.081974,7.290486,7.578423,7.47954,7.256899,7.235547
CDH17,4.948057,4.912807,4.580733,4.830759,4.716249,5.36912,4.853939
GEM,6.933847,7.141524,7.699296,7.824534,7.471673,7.861209,8.068009
RAD54B,6.002192,5.72871,6.424038,6.228562,6.190345,6.098034,6.224885
KIAA1429,8.361916,8.31062,8.570203,8.340981,8.352934,8.340531,8.334066
CCNE2,4.501121,4.454681,7.614856,4.970082,4.580414,5.033078,5.002115
TP53INP1,9.169057,8.866897,9.167845,9.203941,9.004383,9.140358,9.172467
C8orf37,7.926381,7.670334,7.166649,7.431784,7.549293,7.783523,7.55442
GDF6,6.560294,5.882685,5.804797,5.808306,6.566284,5.439871,5.797157
UQCRB,6.866311,6.778906,6.694067,6.978035,7.040776,6.911926,7.148105
MTERF3,6.735441,6.714595,6.931339,6.857354,6.842488,6.8556,6.646049
RNU6-1172P,5.549638,5.483131,4.920481,5.642396,5.852423,5.080076,5.195195
TSPYL5,8.024072,8.220346,8.321805,7.816551,8.21528,8.283392,8.797393
RPL30,12.12217,12.05412,12.22393,12.10194,12.09521,12.03715,12.05162
HRSP12,11.47191,11.37106,9.874706,11.28594,11.29224,11.11833,10.7328
NIPAL2,8.764635,8.690503,9.160135,8.729407,8.647365,8.398129,9.268359
STK3,8.344938,8.486614,8.425254,8.515254,8.71997,8.110199,8.224691
RNU6-748P,5.844361,5.322269,5.241422,5.769774,6.324033,5.755787,5.020453
RN7SKP85,3.984634,4.122021,4.059126,4.061253,4.012521,4.170147,3.864175
RN7SL350P,3.993054,4.175324,3.91936,4.070749,4.127248,3.60184,3.885551
COX6C,8.571736,8.694377,8.707756,8.748885,8.578038,9.242009,9.223747
RGS22,4.044117,4.145002,4.370352,4.273327,4.107611,4.302593,5.0736
FBXO43,3.96861,4.103699,4.548839,4.194854,4.154877,4.103162,4.131221
RNF19A,9.67495,9.737304,9.943803,9.792162,9.80903,9.605322,9.3498
ANKRD46,8.200163,8.343942,7.690409,8.142953,8.183573,8.0399,7.75971
SNX31,4.382961,4.384703,4.281553,4.240981,4.316285,4.324817,4.293741
PABPC1,10.83856,11.04102,11.47458,11.13283,10.91716,11.15388,11.1145
RNU6ATAC41P,3.730272,4.036878,3.963796,3.784601,4.115127,4.1887,4.150074
RNU4-83P,4.355183,4.249707,4.139528,4.289648,4.31696,4.436663,4.236762
YWHAZ,11.02094,11.18256,11.58513,11.12509,11.08658,10.95842,10.90431
ZNF706,7.956854,7.884014,7.710869,8.020495,8.244172,8.231333,8.077243
RN7SL563P,5.335496,5.389569,5.483534,5.3049,5.576934,5.05153,5.236919
NCALD,7.589266,7.767481,7.421689,7.951209,7.876849,8.499379,8.149402
RRM2B,8.427699,8.3742,8.644433,8.414944,8.30297,8.333954,8.26407
UBR5,8.238699,8.116103,8.134406,8.24444,8.338523,8.207132,8.373774
RNU6-1224P,4.337749,4.209115,4.127408,4.507195,4.218244,4.332047,4.434289
KLF10,8.755556,8.245698,8.785272,8.532955,8.277668,8.579994,8.265687
AZIN1,9.023363,9.100791,9.62776,9.218163,8.931504,8.563253,8.703086
BAALCOS,5.296054,5.220116,5.143807,5.198556,5.086798,5.264596,5.309731
SLC25A32,9.510774,9.715758,9.218844,9.509943,9.53144,9.485612,9.201668
DPYS,10.93558,10.93433,9.55599,10.82755,10.66731,10.9271,10.38502
PRO2949,7.181077,7.124638,5.379094,6.693109,7.272743,7.486823,5.178553
LRP12,7.31778,7.455643,7.771912,7.300201,7.66635,7.115624,7.086266
ABRA,5.353758,5.701055,5.281135,5.565361,5.868895,5.358373,5.5024
ANGPT1,7.075748,7.286954,6.960726,7.552703,7.66323,7.78969,7.454738
RSPO2,5.096315,5.106057,5.091065,5.046654,4.770711,5.031795,6.050625
EIF3E,9.072822,9.190632,9.261783,9.161235,8.788294,8.544229,8.67986
TMEM74,5.514202,5.784927,5.547924,5.764391,5.504258,5.018305,5.811907
NUDCD1,7.555511,7.342764,7.952473,7.518011,7.431941,7.582552,7.211941
SYBU,6.067622,6.121966,6.119636,5.788353,5.940355,6.109354,6.769599
RNU2-67P,2.916191,2.883766,2.926085,2.892003,2.820348,3.090908,2.88218
KCNV1,6.033584,6.501191,6.183788,6.395793,6.035498,5.79482,6.125157
CSMD3,4.342403,4.353518,4.329301,4.222373,4.413904,4.292303,4.323607
TRPS1,8.800031,8.938576,8.57745,8.853382,8.969253,8.941616,8.684608
RNA5SP276,5.7063,5.632698,4.918742,5.127519,5.430762,4.685499,4.880471
EIF3H,10.25802,10.12031,10.3671,10.20915,10.10071,10.17717,10.1786
RAD21,9.422311,9.096324,9.509282,9.135961,9.074471,8.96197,8.90768
EXT1,8.584684,8.671899,9.427571,8.803356,8.739012,8.451798,8.392317
SAMD12,7.191336,6.995386,7.562219,7.259286,7.47564,7.384143,6.885939
TNFRSF11B,8.749721,8.941917,8.895893,9.002752,8.827573,8.721674,8.613235
ENPP2,10.91892,10.78508,10.23162,10.89573,10.74212,10.92564,10.35081
RN7SKP153,4.838802,4.780155,4.90907,4.755319,4.846089,4.706407,4.88438
TAF2,9.226593,9.195094,9.426416,9.335041,9.465378,8.962417,8.817866
DSCC1,5.400361,4.997783,6.186201,5.295472,5.008757,5.125359,5.266221
RNA5SP277,4.441728,4.395588,4.254226,4.512864,4.524263,4.455418,4.409415
MRPL13,6.240787,6.37296,6.445654,6.22365,5.825203,5.783435,5.772274
SNTB1,8.960373,8.995982,9.119334,8.76486,9.012661,8.964357,9.42134
HAS2,6.320879,5.82221,7.005825,6.55976,6.246909,5.929669,6.086155
DERL1,9.747571,9.560931,9.944062,9.964332,9.787879,9.716491,9.777664
FAM83A-AS1,5.445914,5.429654,5.152123,5.518486,5.620314,5.305278,5.496465
ZHX1-C8orf76,6.984359,6.645065,7.136964,6.991442,6.952519,7.365546,7.008137
ZHX1,8.557839,8.601784,8.594595,8.508796,8.660497,8.529141,8.70362
ATAD2,5.61478,5.539966,7.384183,5.846458,5.757361,5.694484,5.603403
FBXO32,6.233696,7.320122,6.75417,6.632416,6.990638,6.821743,11.01535
KLHL38,5.078099,5.744501,5.399195,5.443576,6.325911,5.076661,5.591323
ANXA13,6.744505,6.220887,6.220645,6.51749,5.563614,6.608984,5.872947
FER1L6-AS1,4.139224,3.887229,3.774815,3.868832,4.009671,4.176718,4.223208
FER1L6-AS2,4.827321,5.073277,4.851849,4.908902,5.111022,4.77951,5.160509
TMEM65,7.988246,7.809072,8.220686,7.966085,8.060951,7.645065,7.352723
TATDN1,7.06058,7.097319,7.063465,6.973093,7.14366,6.801318,6.808601
MTSS1,9.094938,8.920869,9.000829,8.715993,9.155509,9.162412,9.41701
KIAA0196,9.27773,8.950605,9.554993,9.238051,8.94599,8.976938,8.752336
FAM84B,7.849814,8.023102,8.245441,8.13213,8.31396,8.248779,7.983118
TMEM75,4.689365,4.825209,4.541045,4.636296,4.963209,4.592366,4.619974
RNU4-25P,5.952929,6.189389,6.115305,5.129716,5.101253,4.936984,4.933526
CCDC26,4.391603,4.429487,4.311786,4.483907,4.439548,4.414088,4.444505
GSDMC,3.757415,3.894785,3.703921,4.044143,3.830055,3.782468,3.874341
FAM49B,8.598921,8.515352,9.068869,9.029051,8.658591,8.453884,8.173204
ASAP1,8.620121,8.804658,9.343873,9.001938,8.767354,8.94101,8.894942
RNU6-1255P,5.404938,5.318205,5.441006,5.312611,5.157488,5.321742,5.73036
ADCY8,5.598423,5.438111,5.414816,5.385069,5.605052,5.386658,5.584599
OC90,6.028424,5.974846,5.695487,5.939767,5.779686,5.723953,5.90302
HHLA1,5.588634,5.68452,5.487785,5.569172,5.519317,5.53677,5.44468
KCNQ3,7.053745,6.73822,7.471641,6.615821,6.849653,6.257741,6.627441
LRRC6,8.740376,8.664453,8.556908,8.685164,8.676039,8.844425,8.622044
TMEM71,5.639548,5.208224,5.348769,5.959167,5.43903,6.019064,5.412083
SLA,6.807119,6.119875,6.288534,7.068514,6.123026,6.663021,6.618061
NDRG1,11.67697,11.61734,10.68283,11.48578,11.69359,12.01256,11.6711
ST3GAL1,9.914552,9.785074,8.997574,9.78027,9.434695,9.730639,9.365862
ZFAT,8.280292,8.185316,7.194244,8.116162,8.080044,8.394032,7.787354
MIR30B,4.082499,4.016112,3.642369,4.144189,4.308366,3.741289,3.940156
MIR30D,4.140861,3.893892,3.589634,3.929935,4.014925,4.172333,3.801156
RNU1-35P,3.247465,3.138897,3.227379,3.039109,3.147152,3.408852,3.126124
FAM135B,5.565932,5.459914,5.641742,5.204727,5.198017,5.172732,4.995732
COL22A1,6.551383,6.584222,6.570306,6.618036,6.701741,6.199232,6.410168
KCNK9,6.021718,5.956881,5.785549,5.749519,5.730466,5.706288,5.631025
TRAPPC9,8.710785,8.664026,8.753549,8.829321,9.015359,8.969501,8.91478
AGO2,7.904312,7.901096,8.070003,7.881249,8.004028,8.227333,8.052829
PTK2,9.512891,9.576602,9.773513,9.584356,9.751368,9.505155,9.495089
GPR20,6.637207,6.870236,7.010353,6.660706,6.840671,7.069073,6.858171
MROH5,5.942998,5.859223,5.878078,6.061898,5.871159,5.927058,5.758721
TSNARE1,6.548192,6.42021,6.585668,6.663287,6.708856,6.853475,6.963559
ARC,7.211884,7.16769,7.138038,7.193511,7.047283,6.928189,7.241311
JRK,7.403702,7.591401,7.402957,7.39953,7.261955,7.121014,7.461881
SLURP1,6.612442,6.60533,6.480568,6.539846,6.514532,6.224595,6.440709
LYPD2,6.818733,7.014549,6.815597,6.950613,6.581744,6.434342,6.812287
LYNX1,8.316848,8.65517,8.456352,8.304445,8.351087,8.52676,8.664878
LY6D,6.959533,7.267554,6.988242,7.027926,6.863918,6.772713,7.111813
CYP11B1,6.177572,6.261966,6.187492,6.162712,6.137873,6.021144,6.226128
CYP11B2,5.814298,5.808966,5.680498,5.742914,5.774187,5.64501,5.494225
LY6H,6.941964,7.033385,7.026072,6.922974,6.938542,6.873511,7.008372
TOP1MT,8.01151,7.901233,8.015474,7.979883,7.845957,7.916061,7.97871
RHPN1-AS1,5.993202,6.0924,6.005674,6.062465,5.971346,5.957992,6.062465
MAFA,6.763677,6.938175,6.816306,6.837138,6.604989,6.66639,6.882219
ZC3H3,7.734449,7.60797,7.961899,7.715368,7.727777,8.103055,7.883512
NAPRT,8.677579,8.737909,8.63307,8.843251,8.80149,8.859907,8.820759
PYCRL,7.381274,7.340337,7.308165,7.262762,7.399207,7.366189,7.467751
TSTA3,8.321788,8.159937,8.923437,8.481193,8.359669,8.675855,8.68407
CCDC166,6.364022,6.461617,6.411743,6.39956,6.425668,5.922134,6.560038
FAM83H,7.738682,7.724123,7.841025,7.698339,7.526718,7.697544,7.67333
SCRIB,6.921442,7.052826,7.055976,6.896577,6.86378,6.859591,7.183623
PUF60,8.168913,8.378982,8.373972,8.295862,8.186184,8.344174,8.47159
NRBP2,7.623418,7.883659,7.99573,7.483682,7.676962,7.943199,8.08328
PLEC,8.345232,8.477884,8.475358,8.41956,8.52109,8.523484,8.318248
PARP10,7.545573,7.764544,7.372335,7.711553,7.350427,7.72922,7.578892
OPLAH,7.63005,7.676245,7.594775,7.6545,7.595539,7.755676,7.511068
SHARPIN,8.733312,8.81256,8.844463,8.4669,8.616642,9.013239,9.082243
TMEM249,6.419477,6.44418,6.539078,6.48134,6.100653,6.434952,6.52676
CPSF1,7.87701,7.800456,7.926385,7.779497,7.643709,7.976831,8.102322
SLC39A4,8.244325,8.508226,8.198578,8.022289,8.478545,8.410676,7.663548
VPS28,9.582419,9.568279,9.971408,9.377722,9.449778,9.710509,9.925306
TONSL,6.543522,6.689267,6.677741,6.786649,6.802564,6.508136,6.736864
FOXH1,6.351872,6.58277,6.428772,6.614548,6.244317,6.220634,6.655535
LOC101928953,6.413122,6.681586,6.065796,6.528988,6.528015,6.436603,6.295518
RECQL4,6.73588,6.64013,6.77292,6.764148,6.726527,6.400156,6.690899
LRRC24,6.985305,7.137502,7.165164,7.07178,6.992265,6.983754,7.171216
C8orf82,7.902088,8.202174,7.931894,7.832074,7.909372,7.894013,7.842237
ARHGAP39,6.726678,6.792692,6.835463,6.650332,6.740237,6.83308,6.744181
ZNF251,7.918422,8.220413,7.969811,7.891532,8.144426,8.068507,8.069601
ZNF34,6.594827,6.806046,6.66877,6.626982,6.61657,7.004653,7.108856
RPL8,12.22873,12.29735,12.6255,12.44896,12.40557,12.68553,12.74485
COMMD5,6.732451,6.776621,6.870843,6.724717,6.96617,7.030707,7.115609
ZNF250,7.271898,7.484616,8.05523,7.327308,7.376314,7.69966,7.470993
ZNF16,7.143219,7.202406,7.178099,6.991856,7.123675,7.262421,7.364205
ZNF252P,8.26168,8.257803,8.653073,8.360705,8.461222,7.749573,8.083753
DOCK8,8.664135,8.43869,8.346519,8.63338,8.06538,8.443663,7.95388
KANK1,8.343411,8.217787,8.238017,8.111416,8.089865,8.228668,8.522344
DMRT1,5.104448,5.487741,5.222566,5.372118,5.257118,5.075094,5.268173
DMRT3,5.960175,5.759899,5.83887,5.52194,5.795625,5.636478,5.685853
DMRT2,6.28602,6.36045,6.635538,6.01855,6.172151,6.082973,6.374514
RNA5SP279,4.236727,4.269031,4.151292,4.292268,4.557287,4.427075,3.837806
SMARCA2,8.804008,8.618591,8.498642,8.77288,8.871205,8.772811,8.681451
VLDLR,7.933565,8.025788,8.426861,7.662102,7.911102,8.109906,8.010365
KCNV2,5.426662,5.466724,5.384219,5.425847,5.267332,5.167489,5.231313
DSERG1,3.379183,3.293754,3.30152,3.637973,3.661076,3.338382,3.057921
GLIS3-AS1,5.927331,5.695036,5.766597,5.79828,5.911237,5.887415,5.489865
SLC1A1,10.37756,10.66145,10.43132,10.5544,10.04837,10.40095,9.710161
PPAPDC2,7.379591,7.195045,7.506768,7.361804,7.21826,7.287534,7.236852
CDC37L1,8.019609,7.94389,7.819298,7.963202,8.134174,8.088991,7.897853
RCL1,7.506604,7.601644,7.367695,7.56407,7.815605,7.820447,7.596271
MIR101-2,3.064715,2.976991,3.010495,2.922953,2.983402,3.283055,3.086375
JAK2,8.011402,7.997451,7.873044,8.05997,7.940509,7.904198,7.568262
INSL4,4.387042,4.360803,4.114056,4.258733,4.304964,4.061244,4.252147
CD274,6.262884,5.988486,6.661394,5.956267,5.847568,6.159838,6.102101
PDCD1LG2,7.089127,6.737946,7.096024,6.972085,5.648604,7.101533,6.900702
KIAA1432,7.69316,7.512408,7.771712,7.879142,7.983325,7.779436,7.496878
MLANA,4.982455,4.950744,4.870403,4.915189,4.960597,4.858281,5.203987
IL33,5.964312,6.556682,7.050698,6.808759,6.225042,6.754687,7.74442
TPD52L3,4.119252,4.269832,4.226271,4.330155,4.196364,4.319427,4.502569
UHRF2,8.220449,7.934394,8.29484,8.2597,8.242159,8.24023,8.099699
KDM4C,7.767664,7.624609,7.623053,7.701059,7.879914,7.668103,7.473386
RN7SL5P,4.598015,4.898799,4.537168,4.655621,4.501383,4.639192,4.634919
TYRP1,6.409638,7.876147,6.200034,6.672881,6.558981,6.551518,8.015776
LURAP1L,7.59604,7.951467,7.941396,7.86105,7.320434,8.393169,8.53258
SNAPC3,10.54175,10.3087,10.39256,10.58306,10.54659,10.15447,10.39986
RNU6-246P,3.126933,3.21526,3.092453,3.42517,3.272368,3.492229,3.237572
CCDC171,6.158721,6.074555,6.251229,6.098254,6.675768,6.468429,6.025147
RN7SL720P,5.54204,5.623375,4.697084,6.253204,5.721815,7.524185,4.574593
CNTLN,7.006322,7.155655,7.390767,6.966624,7.078036,7.184072,6.94789
SH3GL2,8.27226,8.33672,8.308392,8.103724,8.26003,8.581467,7.949475
RN7SKP258,3.487318,3.454973,3.52642,3.645511,3.689802,3.433091,3.659289
RRAGA,7.643984,7.73794,7.777255,7.741971,7.338345,7.770622,7.925489
RNU6-264P,5.52177,6.064211,5.804734,5.666349,5.556513,5.572366,5.980762
DENND4C,9.246955,9.195446,9.388029,9.298156,9.500077,9.159323,9.342966
ACER2,6.174611,6.466771,6.65014,6.699634,6.662316,6.828358,6.311835
RNU4-26P,3.64572,3.652889,3.631737,3.544707,3.486274,3.652313,3.465495
FOCAD,7.904005,7.412081,7.860415,7.593649,7.847903,7.981584,8.215847
IFNA8,4.574905,4.351194,4.223903,4.26637,4.164859,4.429865,4.051461
MTAP,7.169114,7.067878,7.362679,7.214008,7.112576,7.112818,7.038426
C9orf53,5.250253,5.433979,5.199986,5.388082,5.341007,5.586556,5.219132
DMRTA1,8.051432,8.094239,7.753436,8.059438,7.910153,8.124839,7.788995
RMRPP5,4.793435,4.805172,4.652718,4.406839,4.688905,4.341895,4.678899
LOC100506422,5.712346,5.499833,5.016021,4.95165,5.244387,5.074042,5.290618
RN7SL100P,4.644201,4.823646,4.565386,4.778182,4.741227,4.630468,4.827268
IFT74,8.074606,7.704517,7.864011,7.964838,8.179671,7.675342,7.512617
TEK,8.908475,8.914677,8.865021,8.849851,9.12549,8.957429,8.839706
RNA5SP280,3.774084,3.731226,3.608981,3.916877,3.903859,3.932727,3.629393
IFNK,3.748555,3.665798,3.750286,3.643746,3.59586,3.611401,3.785235
SLC25A6P2,11.52661,11.67351,11.69142,11.69959,11.67595,11.74894,11.75947
RNA5SP281,4.621828,4.779131,4.633089,4.723987,4.710057,4.625683,4.510222
ACO1,11.4717,11.42869,11.13692,11.6549,11.72136,11.61454,11.17732
TMEM215,5.826053,5.885597,5.722505,5.946739,5.732466,5.709644,5.81877
DNAJA1,9.500764,9.120094,9.39497,9.083048,9.181281,9.062216,8.961329
RNU4ATAC15P,4.157486,4.543984,4.019625,4.23391,4.324395,4.416115,3.920155
SPINK4,4.864948,5.180028,4.690094,4.9937,4.716752,4.725888,4.950665
CHMP5,9.654165,9.476583,9.301383,9.481501,9.312577,9.450466,9.160741
NFX1,8.392479,8.405741,8.686345,8.549928,8.64334,8.592785,8.652174
ANKRD18B,5.781633,5.479346,5.363826,5.518011,5.162573,5.20727,5.45113
ANXA2P2,10.71924,10.54706,11.54776,10.44495,10.03155,10.61399,10.52572
TRBV21OR9-2,5.511689,5.839122,5.67444,5.571524,5.752893,4.968154,5.451688
TRBV23OR9-2,5.977918,6.396397,6.082035,5.84083,6.173266,5.965966,6.220759
PRSS3,6.92418,6.855045,6.542809,6.945253,6.784675,6.250966,6.623949
UBE2R2,10.23909,10.23576,10.4973,10.11531,9.978279,10.06906,10.11845
RNU4ATAC11P,6.67569,6.527784,5.873325,6.856711,7.107188,7.019551,6.262192
RN7SKP114,5.618086,6.047961,5.65403,5.78811,5.532847,5.637463,5.861999
UBAP1,8.357133,8.326869,8.877611,8.473903,8.281615,8.582788,8.638094
NUDT2,7.041594,7.145091,7.438407,7.341965,7.15298,7.161977,7.598292
DNAI1,5.596976,5.65052,5.534024,5.559411,5.747168,5.669433,5.649312
RN7SKP24,3.73413,3.547049,3.504267,3.69043,3.601187,3.776433,4.017379
GALT,7.849538,7.884071,7.765998,7.875642,7.674997,8.073037,8.240436
IL11RA,7.094906,7.14544,6.884617,7.061041,7.155235,7.179553,7.557158
GLULP4,10.78652,10.69214,10.91583,10.71705,10.64812,10.59781,11.22623
KIAA1045,5.152795,5.476036,5.526003,5.816076,5.280392,5.521032,5.494855
DNAJB5,8.207913,8.264318,8.532397,8.35317,8.526819,8.62932,9.860466
RN7SL338P,4.52431,4.374082,4.360619,4.574872,4.590162,4.474144,4.428536
UNC13B,8.662312,8.658381,8.428385,8.536326,8.455686,8.891596,8.521931
ATP8B5P,3.991318,4.071799,3.942337,4.18094,4.152789,4.090141,4.073506
RUSC2,7.904967,8.0097,8.601915,7.776904,7.82089,8.062205,8.33104
TESK1,8.709097,9.32649,9.056981,8.918217,8.88223,9.34783,9.472635
CCDC107,7.242841,7.573976,7.26416,7.359501,7.175568,7.361334,7.558101
RN7SL22P,4.579832,4.402512,4.543302,4.283895,4.513324,4.474698,4.330102
CA9,6.472775,6.674148,6.50663,6.659994,6.628632,6.238554,6.53849
CREB3,9.30326,9.331252,9.455868,9.089487,9.115713,9.625975,9.776287
RGP1,8.20139,8.33959,8.202747,8.129462,8.283703,8.499376,8.648273
NPR2,6.831698,6.881981,7.169811,6.412301,6.765359,7.193486,7.458195
TMEM8B,7.390476,7.359553,7.236288,7.188739,7.503815,7.571804,7.862438
HRCT1,6.615661,6.668905,6.537011,6.413507,6.601929,6.205579,6.214036
RECK,7.615409,7.928176,8.019061,7.79594,7.835707,7.777082,7.824153
GLIPR2,8.426351,8.425805,9.189291,8.687913,8.415789,8.624377,10.00135
CCIN,5.219497,5.268228,5.56324,5.422669,5.081107,4.95623,5.420351
CLTA,8.968182,9.015627,9.201881,9.078154,8.83709,9.188947,8.982236
RNU4-53P,4.685558,4.130309,4.081527,4.201305,4.206808,3.976437,3.800458
MELK,4.594236,4.750759,6.962401,4.845417,4.598759,5.005469,4.929858
ZCCHC7,6.965748,7.131326,7.112041,7.10619,7.10965,6.939602,7.030567
GRHPR,9.33081,9.600961,9.149794,9.22203,9.485348,9.67008,9.56284
POLR1E,6.771741,6.787649,7.887515,6.942982,7.018451,6.931538,7.496878
FRMPD1,5.086056,5.042749,5.04979,5.114197,4.980542,4.81321,4.946283
