,patient_1,patient_2,patient_3,patient_4,patient_5,patient_6,patient_7
C17orf78,4.38775,4.279549,4.178098,4.17512,4.201564,4.427187,4.242223
TADA2A,7.117526,7.051975,7.328575,7.186515,6.965323,7.268828,7.283679
DUSP14,7.079685,7.017455,7.812961,6.936875,6.718194,7.413121,7.094379
MRPL45,10.7193,10.58312,10.93476,10.70806,10.57504,10.99412,10.92969
SOCS7,7.262782,7.351282,7.200926,7.214669,7.31152,7.362288,7.739545
MLLT6,8.278308,8.387807,8.485113,8.294989,8.531952,8.736489,8.633869
PSMB3,9.558125,9.901474,9.887559,9.648174,9.395593,9.767435,9.852236
LRRC37A11P,5.704375,5.601522,5.355724,5.576063,5.415456,5.673101,5.833754
RPL19,9.871074,10.1473,10.21069,10.14649,10.01642,9.822582,10.17539
CDK12,8.721828,8.552733,8.665669,8.721611,8.758097,8.869695,8.723078
PPP1R1B,7.126614,7.081983,7.022845,6.94044,7.677135,6.996623,7.063914
STARD3,8.410824,8.695589,8.913306,8.497383,8.559963,9.029569,9.149671
TCAP,6.356608,7.616579,6.55063,6.75295,7.394903,6.104616,6.372815
PNMT,6.249312,6.46689,6.136921,6.250357,6.420226,5.990273,6.403772
ERBB2,8.697453,8.837398,8.656347,8.68884,8.987107,9.321371,9.177312
GRB7,7.617529,7.999286,8.006067,7.785275,7.860621,8.164975,7.923341
ZPBP2,4.366042,4.305967,4.496688,4.311512,4.202717,4.289447,4.223792
GSDMA,5.812164,5.872839,5.737526,5.878607,5.450085,5.702728,5.937703
PSMD3,9.317878,9.421444,9.54099,9.157054,9.198645,9.427526,9.568526
CSF3,7.587467,7.794651,7.444771,7.69716,7.516941,7.606567,7.675539
THRA,8.913191,8.988139,8.557233,8.990014,9.170949,9.29177,9.792418
MSL1,8.62091,8.701565,8.892204,8.588957,8.358582,9.038601,8.919261
CASC3,9.165004,9.327926,9.301607,9.262477,9.281755,9.482891,9.715752
RAPGEFL1,4.753703,5.245025,5.176812,5.115677,5.107551,4.920022,5.165583
WIPF2,6.888249,6.869159,7.11318,6.792457,6.961945,7.362898,7.106046
CDC6,4.763412,4.631096,7.434933,5.034937,4.612515,4.534922,4.87548
RARA,7.686411,7.812246,7.767429,7.683504,7.727316,7.902219,7.682336
IGFBP4,11.53433,12.01652,10.93415,11.83381,11.85776,12.06841,11.93937
TMEM99,6.098214,5.911702,5.92585,5.817877,5.66698,5.824406,5.978164
KRTAP9-1,6.081645,5.897826,5.882132,5.968351,5.956625,6.530588,6.224421
KRTAP9-3,6.548031,6.522743,6.119011,6.353875,6.442914,6.535908,6.198593
KRTAP9-4,6.870959,6.858574,6.438553,6.70303,6.713266,6.697086,6.555853
RNU2-32P,3.456879,3.184439,3.113631,3.107137,3.101154,3.281456,3.1215
EIF1,12.21548,12.23017,12.34461,12.19472,12.12259,12.41131,12.49469
GAST,6.653826,6.630721,6.502769,6.822677,6.838888,6.527583,6.560663
RNA5SP442,4.951419,4.791838,4.813329,4.805239,4.701679,4.821331,4.813819
FKBP10,7.952019,8.277151,9.050133,8.311042,8.266799,8.660799,8.994071
KLHL10,4.153222,3.953569,4.035206,4.133672,4.05351,4.113859,4.186189
TTC25,5.840411,5.532822,5.768353,5.353995,5.651727,5.812733,5.914455
CNP,9.287565,9.238015,9.522074,9.556468,9.76058,9.793087,9.920551
NKIRAS2,7.80245,7.811302,8.315432,7.745893,7.726457,8.557774,8.582537
HSPB9,5.229966,5.610835,5.260138,5.225663,4.974843,5.371174,5.365304
STAT5A,6.968368,7.532781,7.200873,7.427211,7.473118,8.011549,7.807153
ATP6V0A1,10.98244,10.88786,10.46005,10.71674,10.78555,10.65979,10.27066
NAGLU,8.5229,8.5703,8.400934,8.556262,8.461269,9.178218,8.849297
HSD17B1P1,7.635332,7.851767,7.436106,7.652029,7.752894,7.18844,7.611683
HSD17B1,7.12021,7.228604,7.28867,7.126314,7.392665,7.267115,7.344243
COASY,8.36204,8.384991,8.127286,8.047243,8.187986,8.341989,8.227863
MLX,8.752437,8.914003,8.864137,8.752178,8.943535,9.158188,9.22082
TUBG1,10.81665,11.07497,10.87006,10.84026,10.8882,11.11401,10.95788
HMGB3P27,4.364701,4.192672,4.332035,4.173135,4.218788,4.722928,4.482603
TUBG2,8.736187,9.1169,8.454436,8.815261,8.700945,9.434492,9.207477
CNTNAP1,6.053873,6.26998,6.493038,6.291125,6.050764,6.08789,6.588058
RAMP2,7.678418,7.937803,7.793943,7.523552,7.757572,7.69897,7.987257
VPS25,9.372919,9.44858,10.18626,9.486798,9.189641,9.524562,9.534795
WNK4,7.88334,7.751253,6.866708,7.398961,8.342399,8.314144,8.663903
CNTD1,5.188264,5.323924,4.892201,5.354226,5.441813,5.336998,5.993333
PSME3,10.20217,10.33606,10.77641,10.34471,10.34114,10.45355,10.37004
AOC2,5.101268,5.251907,4.893981,4.829675,5.178902,5.130307,5.352319
G6PC,10.3483,9.995038,6.615095,10.6552,10.06637,9.581892,9.877514
RUNDC1,7.958974,7.946053,7.986554,7.86887,7.855314,8.112655,7.97287
